Category,Drink Name,Size,Calories,Vitamin C (mg),Total Fat (g),Cholesterol (mg),Sodium (mg),Carbohydra te (g),Fiber (g),Sugar (g),Protein (g),Vitamin D,Calcium,Iron,Potassium
Milk Teas,Almond Milk Tea,Regular (16oz),323,0,14,1,98,50,1,29,1,0,18,0,0
Milk Teas,Almond Milk Tea,Large (24 oz),392,0,17,1,116,61,2,34,2,0,21,0,0
Milk Teas,Blue Sky Milk Tea,Large (22 oz),379,0,7,0,62,86,7,68,1,0,10,0,0
Milk Teas,Brown Sugar Milk Tea,Regular (16oz),232,0,10,0,135,34,1,19,1,0,12,0,44
Milk Teas,Brown Sugar Milk Tea,Large (24 oz),332,0,15,0,186,47,1,25,2,0,19,0,55
Milk Teas,Caramel Milk Tea,Regular (16oz),299,7,8,7,158,57,1,43,2,0,11,0,55
Milk Teas,Caramel Milk Tea,Large (24 oz),390,9,11,9,209,73,1,54,2,0,15,0,55
Milk Teas,Classic Milk Tea,Regular (16oz),306,0,11,0,85,51,1,36,1,0,17,0,353
Milk Teas,Classic Milk Tea,Large (24 oz),394,0,14,0,106,67,2,47,1,0,21,0,441
Milk Teas,Coﬀee Milk Tea (Duet),Regular (16oz),238,0,55,0,108,35,5,24,2,0,0,0,0
Milk Teas,Coﬀee Milk Tea (Duet),Large (24 oz),332,0,76,0,151,48,7,34,2,0,0,0,0
Milk Teas,Dirty Horchata,Regular (16oz),177,1,5,12,198,29,0,26,4,1,146,0,181
Milk Teas,Dirty Horchata,Large (24 oz),315,1,8,16,363,54,0,50,6,2,217,0,327
Milk Teas,Earl Grey Milk Tea,Regular (16oz),269,0,11,0,72,43,1,28,1,0,12,0,0
Milk Teas,Earl Grey Milk Tea,Large (24 oz),348,0,13,0,78,58,1,42,1,0,12,0,0
Milk Teas,Fresh Lemon Black Tea,Regular (16oz),87,5,0,0,11,22,0,21,0,0,4,0,17
Milk Teas,Fresh Lemon Black Tea,Large (24 oz),117,6,0,0,16,29,0,28,0,0,6,0,23
Milk Teas,Fresh Milk (Black) Tea,Regular (16oz),165,1,5,18,65,27,0,27,4,2,150,0,0
Milk Teas,Fresh Milk (Black) Tea,Large (24 oz),237,2,7,26,98,39,0,38,6,3,225,0,0
Milk Teas,Fresh Milk (Jasmine) Tea,Regular (16oz),205,2,6,22,81,34,0,34,5,2,188,0,0
Milk Teas,Fresh Milk (Jasmine) Tea,Large (24 oz),285,2,8,31,114,47,0,46,7,3,263,0,0
Milk Teas,Fresh Milk (Oolong) Tea,Regular (16oz),171,1,5,18,65,29,0,29,4,2,150,0,10
Milk Teas,Fresh Milk (Oolong) Tea,Large (24 oz),237,2,7,26,98,39,0,38,6,3,225,0,15
Milk Teas,Fresh Strawberry Milk,Regular (16oz),196,23,10,39,147,18,1,17,9,4,338,0,54
Milk Teas,Fresh Strawberry Milk,Large (24 oz),245,43,12,47,177,24,1,22,11,5,405,0,108
Milk Teas,Hokkaido Milk Tea,Regular (16oz),294,0,10,0,138,45,1,30,1,0,11,0,44
Milk Teas,Hokkaido Milk Tea,Large (24 oz),367,0,13,0,172,56,1,37,2,0,14,0,44
Milk Teas,Honey Green Milk Tea,Regular (16oz),230,0,7,0,56,41,1,29,1,0,11,0,0
Milk Teas,Honey Green Milk Tea,Large (24 oz),347,0,12,0,90,60,1,41,1,0,18,0,0
Milk Teas,Honey Milk Tea,Regular (16oz),357,0,11,0,92,65,1,46,1,0,17,0,88
Milk Teas,Honey Milk Tea,Large (24 oz),431,0,14,0,112,77,2,54,1,0,21,0,88
Milk Teas,Honeydew Milk Tea,Regular (16oz),258,0,8,0,63,46,1,32,1,0,8,0,0
Milk Teas,Honeydew Milk Tea,Large (24 oz),343,0,11,0,85,61,1,42,2,0,11,0,0
Milk Teas,House Milk Tea,Regular (16oz),205,0,8,0,5,34,1,18,0,0,0,0,0
Milk Teas,House Milk Tea,Large (24 oz),281,0,11,0,7,47,1,25,0,0,0,0,0
Milk Teas,Jasmine Milk Tea,Regular (16oz),230,0,7,0,56,41,1,31,1,0,11,0,0
Milk Teas,Jasmine Milk Tea,Large (24 oz),354,0,12,0,90,62,1,46,1,0,18,0,0
Milk Teas,Jasmine Matcha Milk Tea,Regular (16oz),248,2,8,31,114,38,0,30,10,3,263,0,0
Milk Teas,Jasmine Matcha Milk Tea,Large (24 oz),313,3,11,44,163,45,0,35,14,5,375,0,0
Milk Teas,Lavender Milk Tea,Regular (16oz),304,0,12,0,90,47,1,26,1,0,11,0,0
Milk Teas,Lavender Milk Tea,Large (24 oz),417,0,18,0,131,63,2,32,2,0,17,0,0
Milk Teas,Lychee Milk Tea,Regular (16oz),248,0,7,0,84,45,1,31,1,0,11,0,235
Milk Teas,Lychee Milk Tea,Large (24 oz),344,0,12,0,123,59,1,38,1,0,18,0,382
Milk Teas,Lychee Milk Tea w/ Lychee Bits,Regular (16oz),250,1,7,0,84,46,1,31,1,0,11,0,235
Milk Teas,Lychee Milk Tea w/ Lychee Bits,Large (24 oz),342,4,11,0,117,61,1,40,1,0,19,0,352
Milk Teas,Mango Milk Tea,Regular (16oz),295,0,7,0,88,57,1,34,1,0,11,0,0
Milk Teas,Mango Milk Tea,Large (24 oz),360,0,7,0,101,73,1,45,1,0,11,0,0
Milk Teas,Matcha Milk Tea,Regular (16oz),248,2,8,31,114,38,0,30,10,3,263,0,0
Milk Teas,Matcha Milk Tea,Large (24 oz),313,3,11,44,163,45,0,35,14,5,375,0,0
Milk Teas,Matchata,Regular (16oz),174,0,3,0,195,36,0,29,3,0,48,0,190
Milk Teas,Matchata,Large (24 oz),231,0,3,0,255,48,0,37,4,0,63,0,248
