Drink Name,Small Size Calories,Medium Size Calories,Big Size Calories
Signature Boba Smoothie,538,Not Available,706
Strawberries-Cream Smoothie,464,Not Available,578
Strawberry Frui-Tea,159,Not Available,221
Strawberry Milk Tea,386,Not Available,530
Taro Milk Tea,621,Not Available,791
Taro Smoothie,576,Not Available,805
Thai Milk Slush,484,Not Available,641
Thai Milk Tea,352,Not Available,476
Tropical Cha-rge,Not Available,Not Available,288
Tropical Frui-Tea,191,Not Available,244
Watermelon Frui-Tea,181,Not Available,229
Watermelon Slush,348,Not Available,367
Peach Frui-Tea,155,Not Available,193
Premium Boba Milk Tea,269,Not Available,568
Apple Frui-Tea,166,Not Available,241
Taichi Supreme Milk Tea,410,Not Available,543
Assam,120,Not Available,139
Watermelon Cha-rge,Not Available,Not Available,298
Brown Sugar Boba Milk,229,Not Available,327
Mango Slush,405,Not Available,452
Brown Sugar Boba Milk,229,Not Available,327
Signature Cold Brew,Not Available,Not Available,32
Brown Sugar Boba Milk Tea,229,Not Available,327
Jasmine,120,Not Available,139
Chocolate Delight Milk Tea,303,Not Available,397
Coconut Milk Tea,401,Not Available,577
Cold Brew Mousse Topper,Not Available,Not Available,185
Cookies-Cream Smoothie,552,Not Available,672
Cookies-Cream Smoothie,552,Not Available,672
Cranberry Frui-Tea,191,Not Available,235
Chocolate Smoothie,361,Not Available,478
Cranberry Slush,394,Not Available,412
Grapefruit Frui-Tea,207,Not Available,268
Guava Frui-Tea,191,Not Available,239
Guava Grapefruit Slush,361,Not Available,456
Hazelnut Milk Tea,299,Not Available,420
Honeydew Frui-Tea,180,Not Available,221
Honeydew Milk Tea,385,Not Available,534
Lemon Frui-Tea,226,Not Available,328
Lychee Frui-Tea,168,Not Available,213
Lychee Green Tea with Lychee Jelly,238,Not Available,313
Lychee Slush,322,Not Available,340
Mango Frui-Tea,232,Not Available,278
Mango Milk Tea,390,Not Available,508
Mango Slush with Mousse,424,Not Available,560
Matcha Latte Milk Tea,411,Not Available,513
Matcha Smoothie,404,Not Available,509
Oolong,120,Not Available,139
Passionfruit Frui-Tea,231,Not Available,275
Passionfruit Slush,348,Not Available,367
Peach Green Tea with Strawberry Popping Pearls,228,Not Available,297
Peach Slush,344,Not Available,363
Pomegranate Frui-Tea,203,Not Available,257
Premium,121,Not Available,140
Premium Milk Tea,297,Not Available,403
