Category,Drink Name,Small Size Calories,Medium Size Calories,Big Size Calories,Matching File,Path
seasonal,Oreo Chocolate,525,,650,Oreo Chocolate.png,data/pic/coco/Oreo Chocolate.png
seasonal,Oreo Caramel Chocolate,580,,733,Oreo Caramel Chocolate.png,data/pic/coco/Oreo Caramel Chocolate.png
seasonal,Oreo Vanilla Chocolate,582,,694,Oreo Vanilla Chocolate.png,data/pic/coco/Oreo Vanilla Chocolate.png
seasonal,Smashed Taro Milk,,460,,Smashed Taro Milk.png,data/pic/coco/Smashed Taro Milk.png
seasonal,Smashed Taro Tapioca Milk,,460,,Smashe Taro Tapioca Milk.png,data/pic/coco/Smashe Taro Tapioca Milk.png
seasonal,Smashed Taro QQ Milk,,460,,Smashe Taro Qq Milk.png,data/pic/coco/Smashe Taro Qq Milk.png
seasonal,QQ Milk Tea,379,,647,QQ Milk Tea.png,data/pic/coco/QQ Milk Tea.png
seasonal,QQ Black Tea Latte,270,,558,QQ Black Tea Latte.png,data/pic/coco/QQ Black Tea Latte.png
seasonal,Thai Bubble Tea,595,,827,Thai Bubble Tea.png,data/pic/coco/Thai Bubble Tea.png
seasonal,Thai Milk Tea,472,,503,Thai Tea.png,data/pic/coco/Thai Tea.png
seasonal,Peach Green Tea,460,,640,Peach Green Tea.png,data/pic/coco/Peach Green Tea.png
seasonal,Peach Kefir,460,,640,Peach Kefir.png,data/pic/coco/Peach Kefir.png
seasonal,Peach Smoothie,460,,640,Peach Smoothie.png,data/pic/coco/Peach Smoothie.png
seasonal,Berry Party,169,,278,Berry Party.png,data/pic/coco/Berry Party.png
seasonal,Berry Sparkle,,387,,Berry Sparkle.png,data/pic/coco/Berry Sparkle.png
seasonal,Berry Lovers,301,,461,Berry Lovers.png,data/pic/coco/Berry Lovers.png
seasonal,Berry Smoothie,45,,537,Berry Smoothie.png,data/pic/coco/Berry Smoothie.png
milk-tea,Signature Bubble Tea,414,,654,Signature Bubble Tea.png,data/pic/coco/Signature Bubble Tea.png
milk-tea,Classic Milk Tea,249,,517,Classic Milk Tea.png,data/pic/coco/Classic Milk Tea.png
milk-tea,Taro Milk Tea,305,,512,Taro Milk Tea.png,data/pic/coco/Taro Milk Tea.png
milk-tea,Jasmine Milk Tea,270,,535,Jasmine Milk Tea.png,data/pic/coco/Jasmine Milk Tea.png
milk-tea,Lava Pearl Milk Tea,,472,,Lava Pearl Milk Tea.png,data/pic/coco/Lava Pearl Milk Tea.png
milk-tea,Lava Pearl Jasmine Milk Tea,,546,,Lava Pearl Jasmine Milk Tea.png,data/pic/coco/Lava Pearl Jasmine Milk Tea.png
milk-tea,Caramel Milk Tea,315,,605,Caramel Milk Tea.png,data/pic/coco/Caramel Milk Tea.png
milk-tea,Vanilla Milk Tea,315,,575,Vanilla Milk Tea.png,data/pic/coco/Vanilla Milk Tea.png
fruit-tea,Mango Green Tea,70,,377,Mango Green Tea.png,data/pic/coco/Mango Green Tea.png
fruit-tea,Bubble Gaga,95,,596,Bubble Gaga.png,data/pic/coco/Bubble Gaga.png
fruit-tea,Passionfruit Black Tea,61,,426,Passionfruit Black Tea.png,data/pic/coco/Passionfruit Black Tea.png
fruit-tea,Passionfruit Green Tea,61,,426,Passionfruit Green Tea.png,data/pic/coco/Passionfruit Green Tea.png
fruit-tea,Lemon Green Tea,45,,377,Lemon Green Tea.png,data/pic/coco/Lemon Green Tea.png
fruit-tea,Lemon Black Tea,45,,537,Lemon Black Tea.png,data/pic/coco/Lemon Black Tea.png
fruit-tea,Honey Aloe Vera,221,,258,Honey Aloe Vera.png,data/pic/coco/Honey Aloe Vera.png
fruit-tea,Lemon Aloe Vera,230,,267,Lemon Aloe Vera.png,data/pic/coco/Lemon Aloe Vera.png
fruit-tea,Grapefruit Green Tea,88,,318,Grapefruit Green Tea.png,data/pic/coco/Grapefruit Green Tea.png
fruit-tea,Lemon Dunk,60,,565,Lemon Dunk.png,data/pic/coco/Lemon Dunk.png
