Category,Drink Name ,Size,Sugar,Cals (kcal),FatCals(kcal),Fat(g), SatFat (g),TransFat (g) ,Chol (mg) ,  Sod(Mg),Carb (g),TotFib (g) , Sugar (g)  ,Prot (g) ,Allergen
Milk Foam Series,Milk Foam Green Tea ,Medium,100,180,60,7,6,0,10,135,30,0,23,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Medium,70,150,60,7,6,0,10,135,23,0,16,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Medium,50,140,60,7,6,0,10,135,20,0,13,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Medium,30,130,60,7,6,0,10,135,17,0,10,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Medium,0,100,60,7,6,0,10,135,9,0,2,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Large,100,240,80,8,7,0,10,170,42,0,33,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Large,70,210,80,8,7,0,10,170,33,0,24,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Large,50,180,80,8,7,0,10,170,26,0,17,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Large,30,170,80,8,7,0,10,170,23,0,14,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Green Tea ,Large,0,130,80,8,7,0,10,170,12,0,3,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Medium,100,180,60,7,6,0,10,135,31,0,23,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Medium,70,150,60,7,6,0,10,135,24,0,16,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Medium,50,140,60,7,6,0,10,135,21,0,13,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Medium,30,130,60,7,6,0,10,135,18,0,10,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Medium,0,100,60,7,6,0,10,135,10,0,2,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Large,100,240,80,8,7,0,10,170,42,0,33,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Large,70,210,80,8,7,0,10,170,33,0,24,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Large,50,180,80,8,7,0,10,170,26,0,17,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Large,30,170,80,8,7,0,10,170,23,0,14,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Black Tea ,Large,0,130,80,8,7,0,10,170,12,0,3,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Oolong Tea ,Medium,100,180,60,7,6,0,10,135,30,0,23,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Oolong Tea ,Medium,70,150,60,7,6,0,10,135,23,0,16,100,CONTAINS MILK.
Milk Foam Series,Milk Foam Oolong Tea ,Medium,50,140,60,7,6,0,10,135,20,0,13,100,CONTAINS MILK.
