Category,Drink Name,Calories,Saturated Fat / g,Sodium / mg,Carbs / g,Sugar/g,Vegetarian Foods,Allergen,Caffeine (mg)/ cup
Milk Tea,Classic Milk Tea (Black Tea),469,16.7,104,73,46,Lacto Vegetarian,Milk,95
Milk Tea,Classic Milk Tea (Green Tea),453,16.7,101,69,45,Lacto Vegetarian,Milk,90
Milk Tea,Classic Milk Tea (Oolong Tea),453,16.7,101,69,45,Lacto Vegetarian,Milk,145
Milk Tea,Honey Milk Tea (Black Tea),476,14.9,90,80,57,Vegetarian,Milk,95
Milk Tea,Honey Milk Tea (Green Tea),476,14.9,90,80,57,Vegetarian,Milk,90
Milk Tea,Honey Milk Tea (Oolong Tea),476,14.9,90,80,57,Vegetarian,Milk,145
Milk Tea,Classic Coffee,479,16.8,103,74,42,Lacto Vegetarian,Milk,300
Milk Tea,Ginger Milk Tea,410,12,83,71,51,Lacto Vegetarian,Milk,95
Milk Tea,Coffee Milk Tea,426,15.1,92,66,40,Lacto Vegetarian,Milk,215
Milk Tea,Classic Pearl Milk Tea (Black),657,15,124,124,57,Lacto Vegetarian,Milk,85
Milk Tea,Classic Pearl Milk Tea (Green Tea),646,15,123,122,56,Lacto Vegetarian,Milk,80
Milk Tea,Classic Pearl Milk Tea (Oolong Tea),646,15,123,122,56,Lacto Vegetarian,Milk,130
Milk Tea,Hokkaido Pearl Milk Tea,593,10.6,233,120,60,Lacto Vegetarian,Milk,160
Milk Tea,Okinawa Pearl Milk Tea,602,10.4,236,123,63,Lacto Vegetarian,Milk,155
Milk Tea,Thai Pearl Milk Tea,749,9.1,102,157,87,Lacto Vegetarian,Milk,105
Milk Tea,Taro Pearl Milk Tea,722,16.2,127,138,57,Lacto Vegetarian,Milk,80
Milk Tea,Mango Green Milk Tea,507,12,72,95,76,Lacto Vegetarian,"Milk, Mango",90
Milk Tea,QQ Happy Family Milk Tea,601,15.2,139,109,76,Lacto Vegetarian,"Milk, Tree Nuts",80
Milk Tea,Matcha Red Bean Milk Tea,488,11.2,79,87,50,Lacto Vegetarian,Milk,70
Brewed Tea,Classic Black Tea,186,0,0,46,43,Vegan,-,120
Brewed Tea,Classic Green Tea,186,0,0,46,43,Vegan,-,155
Brewed Tea,Classic Oolong Tea,186,0,0,46,43,Vegan,-,180
Brewed Tea,Wintermelon Tea,288,0,6,72,67,Vegan,-,-
Brewed Tea,Honey Tea (Black Tea),246,0,0,62,57,Vegetarian,-,120
Brewed Tea,Honey Tea (Green Tea),246,0,0,62,57,Vegetarian,-,115
Brewed Tea,Honey Tea (Oolong Tea),246,0,0,62,57,Vegetarian,-,180
Brewed Tea,Ginger Tea,188,0,0,47,48,Vegan,-,-
Fruit Tea,Mango Green Tea,340,0,1,85,81,Vegan,Mango,105
Fruit Tea,Wintermelon Lemonade,282,0,7,70,64,Vegan,-,-
Fruit Tea,Strawberry Black Tea,224,0,57,56,53,Vagetarian,-,95
Fruit Tea,Strawberry Green Tea,224,0,57,56,53,Vagetarian,-,90
Fruit Tea,Strawberry Oolong Tea,224,0,57,56,53,Vagetarian,-,145
Fruit Tea,Peach Tea with Aiyu Jelly (Black Tea),389,0,3,91,81,Vegan,Soybeans,85
Fruit Tea,Peach Tea with Aiyu Jelly (Green Tea),389,0,3,91,81,Vegan,Soybeans,80
Fruit Tea,Peach Tea with Aiyu Jelly (Oolong Tea),389,0,3,91,81,Vegan,Soybeans,130
Fruit Tea,Peach Kiwi Tea with Aiyu Jelly (Black Tea),433,0,10,102,94,Vegan,Soybeans,85
Fruit Tea,Peach Kiwi Tea with Aiyu Jelly (Green Tea),433,0,10,102,94,Vegan,Soybeans,80
Fruit Tea,Peach Kiwi Tea with Aiyu Jelly (Oolong Tea),433,0,10,102,94,Vegan,Soybeans,130
Fruit Tea,Honey Lemonade with Aloe Vera,247,0,7,62,58,Vegetarian,-,-
Fruit Tea,Kiwi Fruit Tea with Aiyu Jelly,277,0,9,69,63,Vegan,-,80
Fruit Tea,Mango & Passion Fruit Green Tea,364,0,0,91,86,Vegan,Mango,105
Fruit Tea,Hawaii Fruit Tea with Aiyu Jelly,455,0,15,115,107,Vegan,-,80
Fruit Tea,Tropical Fruit Tea,320,0,12,80,75,Vegan,-,105
