Topping,Serving Size (g),Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol(mg),Sodium(mg),Carbohydrates,Fiber,Sugar,Protein,Calcium %
Bubbles,77,199,0,0,0,0,0,10,49,0,20,0,
Bubbles (Extra),116,299,0,0,0,0,0,15,73,0,30,1,0%
Wow Bubbles,77,162,0,0,0,0,0,9,40,0,18,1,
Wow Bubbles (Extra),115.5,244,0,0,0,0,0,14,60,0,28,1,0%
Nata Jelly,79,79,0,0,0,0,0,29,20,1,17,0,
Nata Jelly (Extra),118.5,119,0,0,0,0,0,44,30,1,26,0,0%
Mango Jelly ,79,79,0,0,0,0,0,29,20,1,17,0,
Mango Jelly (Extra),118.5,119,0,0,0,0,0,44,30,1,26,0,0%
Herbal Jelly ,142,111,0,0,0,0,0,92,14,0,11,0,0%
Herbal Jelly (Extra),213,167,0,0,0,0,0,138,21,0,17,0,0%
Red Bean ,66,125,0,0,0,0,0,1,29,1,20,2,2%
Red Bean (Extra),99,187,0,0,0,0,0,2,44,2,30,3,2%
Oreo ,20,93,17,4,1,0,0,76,15,0,8,1,0%
Oreo (Extra),30,140,25,6,2,0,0,113,22,1,12,1,0%
Pudding ,132,87,0,3,1,0,4,83,26,0,12,1,0%
Pudding (Extra),198,131,0,4,2,0,6,125,40,0,18,2,0%
Crystal Bubbles ,77,54,0,0,0,0,0,10,13,0,8,0,0%
Crystal Bubbles (Extra),116,80,0,0,0,0,0,15,20,0,13,0,0%
Aloe Jelly ,64,42,2,0,0,0,0,3,10,0,10,0,0%
Aloe Jelly (Extra),96,63,3,0,0,0,0,5,15,0,15,0,0%
Mango Popping Bubbles ,64,115,0,0,0,0,0,6,28,0,15,0,0%
Mango Popping Bubbles (Extra),96,173,0,0,0,0,0,10,42,0,22,0,0%
Grape Popping Bubbles ,64,113,0,0,0,0,0,6,28,0,15,0,0%
Grape Popping Bubbles (Extra),96,169,0,0,0,0,0,10,41,0,22,0,0%
Coffee Popping Bubbles ,64,104,0,0,0,0,0,6,25,0,14,0,0%
Coffee Popping Bubbles (Extra),96,156,0,0,0,0,0,10,38,0,20,0,0%
Milk Cap ,99,324,65,23,10,0,30,441,26,0,6,3,4%
Milk Cap (Extra),99,324,65,23,10,0,30,441,26,0,6,3,4%
Purple Yam ,100,120,0,0,0,0,0,40,32,0,20,0,0%
Purple Yam (Extra),150,180,0,0,0,0,0,60,48,0,30,0,0%
Strawberry Popping Bubbles ,64,130,0,0,0,0,0,10,31,0,29,0,10%
Strawberry Popping Bubbles (Extra),96,190,0,0,0,0,0,10,47,0,43,0,15%
