Topping,Calories,Saturated Fat / g,Sodium / mg,Carbs / g,Sugar / g,Vegetarian Foods,Allergen
Pearl,276,0,32,69,23.4,Vegan,-
Mini Pearl,276,0,32,69,23.4,Vegan,-
Pudding,102,1,6,23,19.3,Lacto Vegetarian,Milk
Herb Jelly,73,0,112,18,17,Vegan,-
Aiyu Jelly,111,0,2,27.4,27.3,Vegan,-
Lychee Jelly,236,0,112,59,50.4,Vegan,Tree Nuts
Aloe Vera,77,0,7,19,19,Vegan,-
Red Bean,154,0,12,34,16.8,Vegan,-
Crystal Boba,108,0,36,26,22,Vegan,-
Ice Cream,139,4.9,53,17,13.1,Lacto Vegetarian,Milk
Creama,253,13.2,385,20,9.5,Lacto Vegetarian,Milk
